StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q207_1,Q209,Q209_7_TEXT,Q208,Q208_7_TEXT,Q216,Q220,Q96,Q213,Q214,Q2,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q79_1,Q79_2,Q80_1,Q80_2,Q80_3,Q80_4,Q80_5,Q80_6,Q80_7,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,RFQ_prom1,RFQ_prom2,RFQ_prev1,RFQ_prev2,RFQ_prev3,RFQ_prom3,RFQ_prom4,RFQ_prom5,RFQ_prom6,RFQ_prev4,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q114,Q115,Q116,Q118,Q119,Q120,Q121,Q122,Q123,Q125,Q126,Q127,Q128,Q129,Q130,Q131,Q133,Q134,Q135,Q137,Q138,Q139,Q140,Q141,Q143,Q145,Q147,Q148,Q149,Q150,Q152,Q153,Q155,Q156,Q157,Q158,Q159,Q161,Q162,Q163,Q164,Q166,Q168,Q167,Q169,Q171,Q172,Q174,Q175,Q176,Q177,Q179,Q181,Q182,Q183,Q185,Q186,Q188,Q189,Q193,Q194,Q196,Q198,Q201,Q203,Q204,Q205,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q98,Q100,Q102,mTurkcode,subjectid,Enter Embedded Data Field Name Here...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"In the game, some machines more often gave large values (+10 or -9) while others gave small values more often  (+2 and -1).
Which did type of machine did you choose more often?Choose ""do not know"" if you did not know which machine was which type. - Click to write Choice 1","When you chose the machines with the smaller values, why did you choose them? Select all that apply. - Selected Choice","When you chose the machines with the smaller values, why did you choose them? Select all that apply. - Other - Text","When you chose the machines with the larger values, why did you choose them? Select all that apply. - Selected Choice","When you chose the machines with the larger values, why did you choose them? Select all that apply. - Other - Text",Did the outcome of the previous machine affect your selection for the upcoming machine?,"If so, how?","Were there any other factors or strategies you used to make your decisions in the game, not described above? Please describe them in the text box below.",Did you find that you remembered the points associated with each stamp at the end of the task?,Did you find that you remembered which images were worth more than others at the end of the task? (Even if you did not remember the actual amount of points),"If there was anything confusing or unclear about the task you just completed, anything you feel should be changed, or anything you would otherwise like to comment on, please do so in the text box below.",I have saved up so many things that they get in the way.,I check things more often than necessary.,I get upset if objects are not arranged properly.,I feel compelled to count while I am doing things.,I find it difficult to touch an object when I know it has been touched by strangers or certain people.,I find it difficult to control my own thoughts.,I collect things I don't need.,"I repeatedly check doors, windows, drawers, etc.",I get upset if others change the way I have arranged things.,I feel I have to repeat certain numbers.,I sometimes have to wash or clean myself simply because I feel contaminated.,I am upset by unpleasant thoughts that come into my mind against my will.,I avoid throwing things away because I am afraid I might need them later.,I repeatedly check gas and water taps and light switches after turning them off.,I need things to be arranged in a particular order.,I feel that there are good and bad numbers.,I wash my hands more often and longer than necessary.,I frequently get nasty thoughts and have difficulty in getting rid of them.,"On average, how do you feel on any given day?
0 = not at all 100 = most possible - Positive","On average, how do you feel on any given day?
0 = not at all 100 = most possible - Negative","On average, how many times do you experience the following emotions?
0 = none of the time100 = all of the time - Anger","On average, how many times do you experience the following emotions?
0 = none of the time100 = all of the time - Fear","On average, how many times do you experience the following emotions?
0 = none of the time100 = all of the time - Anxiety","On average, how many times do you experience the following emotions?
0 = none of the time100 = all of the time - Sadness","On average, how many times do you experience the following emotions?
0 = none of the time100 = all of the time - Happiness","On average, how many times do you experience the following emotions?
0 = none of the time100 = all of the time - Calm","On average, how many times do you experience the following emotions?
0 = none of the time100 = all of the time - Hope","On average, how intensely do you experience the following emotions?
0 = not intense at all100 = most intense possible - Anger","On average, how intensely do you experience the following emotions?
0 = not intense at all100 = most intense possible - Fear","On average, how intensely do you experience the following emotions?
0 = not intense at all100 = most intense possible - Anxiety","On average, how intensely do you experience the following emotions?
0 = not intense at all100 = most intense possible - Sadness","On average, how intensely do you experience the following emotions?
0 = not intense at all100 = most intense possible - Happiness","On average, how intensely do you experience the following emotions?
0 = not intense at all100 = most intense possible - Calm","On average, how intensely do you experience the following emotions?
0 = not intense at all100 = most intense possible - Hope","On average, how much of the time do you spend seeking new opportunities?","On average, how successful are you in new opportunities that you seek out?","On average, how much of the time do you focus on your responsibilities, obligations, and duties?","On average, how much of the time do you work on your responsibilities, obligations, and duties?","How successful are you in your responsibilities, obligations, and duties?","On average, how much of the time do you focus on your hopes, dreams, and aspirations?","On average, how much of the time do you work on your hopes, dreams, and aspirations?","How successful are you in your hopes, dreams, and aspirations?","On average, how much do you focus on potential rewards and successes?","On average, how much do you focus on potential risks and failures?",I like to continue doing the same old things rather than trying new and different things.,I like to experience novelty and change in my daily routine.,"I like a job that offers change, variety, and travel, even if it involves some danger.",I am continually seeking new ideas and experiences.,I like continually changing activities.,"When things get boring, I like to find some new and unfamiliar experience.",I prefer a routine way of life to an unpredictable one full of change.,Admitting that your tastes are different than your friends.,"Going camping in the wilderness, beyond the civilization of a campground.",Betting a day's income at the horse races.,Buying an illegal drug for your own use.,Cheating on an exam.,Chasing a tornado or hurricane by car to take dramatic photos.,Investing 10% of your annual income to a moderate growth mutual fund.,Consuming five or more servings of alcohol in a single evening.,Cheating by a significant amount on your income tax return.,Disagreeing with your father on a major issue.,Betting a day's income at a high stake poker game.,Having an affair with a married man or woman.,Forging somebody's signature.,Passing off somebody else's work as your own.,Going on a vacation in a third-world country without prearranged travel and hotel accommodations.,Arguing with a friend about an issue on which he or she has a very different opinion.,Going down a ski run that is beyond your ability or closed.,Investing 5% of your annual income in a very speculative stock.,Approaching your boss to ask for a raise.,Illegally copying a piece of software.,Going whitewater rafting during rapid water flows in the spring.,"Betting a day's income on the outcome of a sporting event (e.g. baseball,soccer, or football).",Telling a friend if his or her significant other has made a pass at you.,Telling a friend if his or her significant other has made a pass at you.,Investing 5% of your annual income in a conservative stock.,Shoplifting a small item (e.g. a lipstick or a pen).,Wearing provocative or unconventional clothes on occasion.,Engaging in unprotected sex.,Stealing an additional TV cable connection off the one you pay for.,Not wearing your seatbelt when being a passenger in the front seat.,Investing 10% of your annual income in government bonds (treasury bills).,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving).,Not wearing a helmet when riding a motorcycle.,Gambling a week's income at a casino.,Taking a job that you enjoy over one that is prestigious but less enjoyable.,Defending an unpopular issue that you believe in at a social occasion.,Exposing yourself to the sun without using sunscreen.,Trying out bungee jumping at least once.,"Piloting your own small plane, if you could.",Walking home alone at night in a somewhat unsafe area of town.,Regularly eating high cholesterol foods.,Is talkative.,Is reversed.,Is full of energy.,Generates a lot of enthusiasm.,Tends to be quiet.,Has an assertive personality.,"Is sometimes shy, inhibited.","Is outgoing, sociable.","Is depressed, blue.","Is relaxed, handles stress well.",Can be tense.,Worries a lot.,"Is emotionally stable, not easily upset.",Can be moody.,Remains calm in tense situations.,Gets nervous easily.,I often do things on impulse.,I would like to take off on a trip with no preplanned or definite routes or timetables.,I enjoy getting into new situations where you can't predict how things will turn out.,I sometimes like to do things that are a little frightening.,I'll try anything once.,"I would like the kind of life where one is on the move and travelling a lot, with lots of change and excitement.","I sometimes do ""crazy"" things just for fun.",I prefer friends who are excitingly unpredictable.,I often get so carried away by new and exciting things and ideas that I never think of possible complications.,"I like ""wild"" uninhibited parties.","I might be willing to try eating monkey meat, under some circumstances.",It would bother me to see a rat run across my path in a park.,Seeing a cockroach in someone else's house doesn't bother me.,It bothers me to hear someone clear a throat full of mucus.,"If I see someone vomit, it makes me sick to my stomach.","It would bother me to be in a science class, and see a human hand preserved in a jar.",It would not upset me at all to watch a person with a glass eye take the eye out of the socket.,It would bother me tremendously to touch a dead body.,I would go out of my way to avoid walking through a graveyard.,I never let any part of my body touch the toilet seat in a public washroom.,I probably would not go to my favorite restaurant if I found out that the cook had a cold.,"Even if I was hungry, I would not drink a bowl of my favorite soup if it had been stirred with a used but thoroughly washed flyswatter.",It would bother me to sleep in a nice hotel room if I knew that a man had dies of a heart attack in that room the night before.,If you see someone put ketchup on vanilla ice cream and eat it.,You are about to drink a glass of milk when you smell that it is spoiled.,You see maggots on a piece of meat in an outdoor garbage pail.,You are walking barefoot on concrete at step of an earthworm.,"While you are walking through a tunnel under a railroad track, you smell urine.",You see a man with his intestines exposed after an accident.,Your friend's pet cat dies and you have to pick up the dead body with your bare hands.,You accidentally touch the ashes of a person who has been cremated.,You take a sip of soda an realize that you drank from the glass that an acquaintance of yours had been drinking from.,You discover that a friend of yours changes underwear only once a week.,A friend offers you a piece of chocolate shaped like a dog-doo.,"As part of a sex education class, you are required to inflate a new lubricated condom, using your mouth.",Age:,Ethnicity:,Gender,mTurkcode,subjectid,Enter Embedded Data Field Name Here...
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID216_1""}","{""ImportId"":""QID218""}","{""ImportId"":""QID218_7_TEXT""}","{""ImportId"":""QID217""}","{""ImportId"":""QID217_7_TEXT""}","{""ImportId"":""QID225""}","{""ImportId"":""QID229_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_2""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID80_2""}","{""ImportId"":""QID80_3""}","{""ImportId"":""QID80_4""}","{""ImportId"":""QID80_5""}","{""ImportId"":""QID80_6""}","{""ImportId"":""QID80_7""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID81_2""}","{""ImportId"":""QID81_3""}","{""ImportId"":""QID81_4""}","{""ImportId"":""QID81_5""}","{""ImportId"":""QID81_6""}","{""ImportId"":""QID81_7""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID152""}","{""ImportId"":""QID154""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID175""}","{""ImportId"":""QID177""}","{""ImportId"":""QID176""}","{""ImportId"":""QID178""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID188""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID205""}","{""ImportId"":""QID207""}","{""ImportId"":""QID210""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID107_TEXT""}","{""ImportId"":""QID108""}","{""ImportId"":""mTurkcode""}","{""ImportId"":""subjectid""}","{""ImportId"":""Enter Embedded Data Field Name Here...""}"
2017-10-29 23:25:44,2017-10-29 23:28:00,IP Address,76.67.72.21,100,135,True,2017-10-29 23:28:01,R_3I6mD9XYknOUDG7,,,,,43.632507324219,-79.493896484375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788267,4000TESTING,
2017-10-29 23:28:31,2017-10-29 23:30:45,IP Address,76.67.72.21,100,134,True,2017-10-29 23:30:46,R_2vbGe95MS7cAr1Y,,,,,43.632507324219,-79.493896484375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585564,4000TESTING,
2017-10-29 23:36:27,2017-10-29 23:37:25,IP Address,76.67.72.21,100,58,True,2017-10-29 23:37:26,R_3hmRmCBh9qmKuKG,,,,,43.632507324219,-79.493896484375,anonymous,EN,66,Enjoyed the possibility of either gaining OR losing a small amount,,Enjoyed the possibility of either gaining OR losing a large amount,,Yes,HEYYYYYY,,,,,,,,Extremely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All of the time,,,Moderately,,,Extremely,,,,,,,,,,,,,,,,,,,,,,,Likely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree a little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7217,416TESTING,
2017-10-30 15:15:43,2017-10-30 15:30:18,IP Address,142.1.240.10,100,875,True,2017-10-30 15:30:19,R_6Kj8mfGqZGiwa09,,,,,43.662902832031,-79.398696899414,anonymous,EN,38,"Wanted to avoid the possibility of losing many points (-9) on that turn,Enjoyed the possibility of either gaining OR losing a small amount,Thought they would lead to earning more points in the long run",,"Wanted the possibility to gain many points (+10) on that turn,Thought they would lead to earning more points in the long run,Chose randomly",,Yes,"If I got negative points, I would go to the other machine, but if I got more points, then I would try the same one again","No, it was mostly random, or trying to lose the least amount of points as possible",Somewhat,Yes,,Moderately,Moderately,A little,Not at all,Not at all,Moderately,A little,Not at all,A lot,Not at all,A little,Moderately,A lot,Not at all,A little,Not at all,Not at all,A lot,61,44,,62,82,50,82,34,51,,39,76,28,74,44,49,5,4,5,3,5,6,6,3,4,2,A little,A little,A little,A lot,Moderately,A little,Moderately,Likely,Not sure,Very unlikely,Very unlikely,Unlikely,Very unlikely,Not sure,Very unlikely,Very unlikely,Likely,Very unlikely,Very unlikely,Unlikely,Very unlikely,Unlikely,Likely,Very unlikely,Unlikely,Not sure,Not sure,Unlikely,Very unlikely,Likely,Likely,Unlikely,Very unlikely,Likely,Unlikely,Unlikely,Very unlikely,Unlikely,Unlikely,Very unlikely,Very unlikely,Very likely,Not sure,Very likely,Unlikely,Unlikely,Unlikely,Likely,Disagree a little,Neither agree or disagree,Agree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree a little,Disagree strongly,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Disagree a little,Agree strongly,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,True,Slightly,Very,Very,Slightly,Slightly,Very,Very,Slightly,Not,Very,Not,Slightly,17,Filipino,Female,378368,5001,
2017-10-30 16:25:05,2017-10-30 16:45:22,IP Address,142.1.240.10,100,1217,True,2017-10-30 16:45:23,R_3fdQOdyEY36w8nG,,,,,43.662902832031,-79.398696899414,anonymous,EN,40,Wanted to avoid the possibility of losing many points (-9) on that turn,,Wanted the possibility to gain many points (+10) on that turn,,Somewhat,"If I lost a lot of points on one turn, I wanted to gain more to compensate for the loss","I found that after a long time of choosing the blue machines, I would either get a lot of points deduced at the end or gain a lot of points if i switched to the red machines in the end",Yes,Yes,,Moderately,A little,A little,Moderately,Not at all,A little,Moderately,A lot,A lot,Moderately,Not at all,A lot,Moderately,Not at all,Moderately,Extremely,Moderately,Not at all,55,45,28,13,33,50,51,0,21,60,30,63,64,64,,18,4,4,4,4,4,4,4,4,4,4,Moderately,Moderately,Moderately,Moderately,Moderately,A lot,Moderately,Likely,Not sure,Very unlikely,Very unlikely,Very unlikely,Unlikely,Not sure,Unlikely,Very unlikely,Not sure,Very unlikely,Very unlikely,Very unlikely,Unlikely,Unlikely,Not sure,Unlikely,Not sure,Not sure,Very unlikely,Unlikely,Very unlikely,Not sure,Not sure,Not sure,Very unlikely,Unlikely,Unlikely,Very unlikely,Very unlikely,Not sure,Likely,Very unlikely,Very unlikely,Not sure,Likely,Likely,Very likely,Not sure,Unlikely,Unlikely,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree a little,Neither agree or disagree,Neither agree or disagree,Disagree a little,Agree a little,Neither agree or disagree,Neither agree or disagree,Disagree a little,Agree a little,Neither agree or disagree,Disagree a little,Disagree a little,Agree a little,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,Very,Very,Very,Very,Slightly,Slightly,Slightly,Very,Slightly,Very,Very,Very,17,Asian,Female,958330,5002,
2017-10-30 17:10:13,2017-10-30 17:23:41,IP Address,142.1.240.7,100,808,True,2017-10-30 17:23:42,R_2V4NTQghkGLce8S,,,,,43.662902832031,-79.398696899414,anonymous,EN,8,Wanted to avoid the possibility of losing many points (-9) on that turn,,Gut feeling/intuition,,Somewhat,,"Being consistent with one side just to see how the game would change and what points id get ",Yes,Yes,,A little,Moderately,Moderately,Not at all,A little,A lot,A little,Moderately,A lot,Moderately,Moderately,Moderately,Moderately,Moderately,A lot,Moderately,A lot,Moderately,80,20,20,35,45,26,75,65,85,40,64,68,64,79,81,85,5,5,6,6,5,5,5,5,5,5,Moderately,A little,A lot,Moderately,Moderately,Moderately,A lot,Likely,Not sure,Very unlikely,Not sure,Not sure,Unlikely,Not sure,Very unlikely,Unlikely,Unlikely,Very unlikely,Very unlikely,Not sure,Unlikely,Unlikely,Not sure,Very unlikely,Very unlikely,Not sure,Unlikely,Very unlikely,Not sure,Not sure,Not sure,Not sure,Very unlikely,Unlikely,Very unlikely,Unlikely,Unlikely,Not sure,Likely,Unlikely,Very unlikely,Not sure,Not sure,Unlikely,Likely,Not sure,Not sure,Not sure,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree or disagree,Agree a little,Disagree a little,Agree a little,Agree a little,Neither agree or disagree,Agree a little,Agree a little,Agree a little,Neither agree or disagree,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,Very,Slightly,Very,Very,Very,Very,Slightly,Slightly,Slightly,Very,Not,Very,18,"Pakistani ",Female,525939,5003,
2017-10-30 20:34:57,2017-10-30 20:36:58,Survey Preview,,100,120,True,2017-10-30 20:36:58,R_1ibnAfyKUCoDksi,,,,,43.632507324219,-79.493896484375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641812,,
2017-10-30 20:43:21,2017-10-30 20:44:01,Survey Preview,,100,40,True,2017-10-30 20:44:02,R_NUqUozLuo8s9SBb,,,,,43.632507324219,-79.493896484375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598705,,
